Journal Title,eISSN,Open Access Status,Included in R&P agreement,Subject,Publisher,Agreement Duration
4D printing,3049-9569,Hybrid,Yes,Engineering,Emerald,2025-2027
Academia Revista Latinoamericana de Administracion,2056-5127,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Accounting Research Journal,1839-5465,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
"Accounting, Auditing & Accountability Journal",1758-4205,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Advances in Autism,2056-3876,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Advances in Dual Diagnosis,2042-8324,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Advances in Mental Health and Intellectual Disabilities,2044-1290,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
African Journal of Economic and Management Studies,2040-0713,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Agricultural Finance Review,2041-6326,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Aircraft Engineering and Aerospace Technology: An International Journal,1758-4213,Hybrid,Yes,Engineering,Emerald,2025-2027
American Journal of Business,1935-5181,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Annals in Social Responsibility,2056-3523,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Anti-Corrosion Methods and Materials,1758-4221,Hybrid,Yes,Engineering,Emerald,2025-2027
Archnet-IJAR: International Journal of Architectural Research,1938-7806,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
Arts and the Market,2056-4953,Hybrid,Yes,Marketing,Emerald,2025-2027
Asia Pacific Journal of Marketing and Logistics,1758-4248,Hybrid,Yes,Marketing,Emerald,2025-2027
Asian Education and Development Studies,2046-3170,Hybrid,Yes,Education,Emerald,2025-2027
Asian Review of Accounting,1758-8863,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Asia-Pacific Journal of Business Administration,1757-4331,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Aslib Journal of Information Management,2050-3814,Hybrid,Yes,Library Science,Emerald,2025-2027
Baltic Journal of Management,1746-5273,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Benchmarking: An International Journal,1758-4094,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
British Food Journal,1758-4108,Hybrid,Yes,Public policy & Environm Management,Emerald,2025-2027
Built Environment Project and Asset Management,2044-1258,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
Business Process Management Journal,1758-4116,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
Career Development International,1758-6003,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
China Agricultural Economic Review,1756-1388,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
China Finance Review International,2044-1401,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Chinese Management Studies,1750-6158,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Circuit World,1758-602X,Hybrid,Yes,Engineering,Emerald,2025-2027
Collection and Curation,2514-9334,Hybrid,Yes,Library Science,Emerald,2025-2027
COMPEL,2054-5606,Hybrid,Yes,Engineering,Emerald,2025-2027
Competitiveness Review,2051-3143,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
"Construction Innovation: Information, Process, Management",1477-0857,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
Consumer Behavior in Tourism and Hospitality,2752-6674,Hybrid,Yes,Tourism & Hospitality Management,Emerald,2025-2027
Continuity & Resilience Review,2516-7510,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Corporate Communications: An International Journal,1758-6046,Hybrid,Yes,Marketing,Emerald,2025-2027
Corporate Governance,1758-6054,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Critical perspectives on international business,1758-6062,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Cross Cultural & Strategic Management,2059-5808,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Data Technologies and Applications,2514-9318,Hybrid,Yes,Library Science,Emerald,2025-2027
Development and Learning in Organizations: An International Journal,1758-6097,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Digital Library Perspectives,2059-5824,Hybrid,Yes,Library Science,Emerald,2025-2027
"Digital Policy, Regulation and Governance",2398-5046,Hybrid,Yes,Records & Knowledge Managemennt,Emerald,2025-2027
Disaster Prevention and Management: An International Journal,1758-6100,Hybrid,Yes,Public policy & Environm Management,Emerald,2025-2027
"Drugs, Habits and Social Policy",2752-6747,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Education + Training,1758-6127,Hybrid,Yes,Education,Emerald,2025-2027
Employee Relations: The International Journal,1758-7069,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Engineering Computations,1758-7077,Hybrid,Yes,Engineering,Emerald,2025-2027
"Engineering, Construction and Architectural Management",1365-232X,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
English Teaching: Practice & Critique,1175-8708,Hybrid,Yes,Education,Emerald,2025-2027
"Equality, Diversity and Inclusion: An International Journal",2040-7157,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
EuroMed Journal of Business,1758-888X,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
European Business Review,1758-7107,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
European Journal of Innovation Management,1758-7115,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
European Journal of Marketing,1758-7123,Hybrid,Yes,Marketing,Emerald,2025-2027
European Journal of Training and Development,2046-9020,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Evidence-based HRM: a Global Forum for Empirical Scholarship,2049-3991,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Facilities,1758-7131,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
Foresight,1465-9832,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Gender in Management: An International Journal,1754-2421,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
"Global Knowledge, Memory and Communication",2514-9350,Hybrid,Yes,Library Science,Emerald,2025-2027
Grey Systems: Theory and Application,2043-9385,Hybrid,Yes,Engineering,Emerald,2025-2027
Health Education,1758-714X,Hybrid,Yes,Education,Emerald,2025-2027
"Higher Education, Skills and Work-based Learning",2042-390X,Hybrid,Yes,Education,Emerald,2025-2027
History of Education Review,2054-5649,Hybrid,Yes,Education,Emerald,2025-2027
"Housing, Care and Support",2042-8375,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Human Resource Management International Digest,1758-7166,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Indian Growth and Development Review,1753-8262,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Industrial and Commercial Training,1758-5767,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
Industrial Lubrication and Tribology,1758-5775,Hybrid,Yes,Engineering,Emerald,2025-2027
Industrial Management & Data Systems,1758-5783,Hybrid,Yes,Records & Knowledge Managemennt,Emerald,2025-2027
Industrial Robot,1758-5791,Hybrid,Yes,Engineering,Emerald,2025-2027
Information and Computer Security,2056-497X,Hybrid,Yes,Records & Knowledge Managemennt,Emerald,2025-2027
Information and Learning Sciences,2398-5356,Hybrid,Yes,Library Science,Emerald,2025-2027
Information Discovery and Delivery,2398-6255,Hybrid,Yes,Library Science,Emerald,2025-2027
Information Technology & People,1758-5813,Hybrid,Yes,Records & Knowledge Managemennt,Emerald,2025-2027
Interactive Technology and Smart Education,1758-8510,Hybrid,Yes,Education,Emerald,2025-2027
International Journal for Lesson and Learning Studies,2046-8261,Hybrid,Yes,Education,Emerald,2025-2027
International Journal of Accounting and Information Management,1758-9037,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
International Journal of Bank Marketing,1758-5937,Hybrid,Yes,Marketing,Emerald,2025-2027
International Journal of Building Pathology and Adaptation,2398-4716,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
International Journal of Clothing Science and Technology,1758-5953,Hybrid,Yes,Engineering,Emerald,2025-2027
International Journal of Comparative Education and Development,2309-4907,Hybrid,Yes,Education,Emerald,2025-2027
International Journal of Conflict Management,1758-8545,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Contemporary Hospitality Management,1757-1049,Hybrid,Yes,Tourism & Hospitality Management,Emerald,2025-2027
International Journal of Development Issues,1758-8553,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
International Journal of Disaster Resilience in the Built Environment,1759-5916,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
International Journal of Educational Management,1758-6518,Hybrid,Yes,Education,Emerald,2025-2027
International Journal of Emergency Services,2047-0908,Hybrid,Yes,Public policy & Environm Management,Emerald,2025-2027
International Journal of Emerging Markets,1746-8817,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Energy Sector Management,1750-6239,Hybrid,Yes,Public policy & Environm Management,Emerald,2025-2027
International Journal of Entrepreneurial Behavior & Research,1758-6534,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Ethics and Systems,2514-9377,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
International Journal of Event and Festival Management,1758-2962,Hybrid,Yes,Tourism & Hospitality Management,Emerald,2025-2027
International Journal of Gender and Entrepreneurship,1756-6274,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Health Care Quality Assurance,1758-6542,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
International Journal of Health Governance,2059-464X,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
International Journal of Housing Markets and Analysis,1753-8289,Hybrid,Yes,Property Management & Built Environment,Emerald,2025-2027
International Journal of Human Rights in Healthcare,2056-4910,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
International Journal of Information and Learning Technology,2056-4899,Hybrid,Yes,Education,Emerald,2025-2027
International Journal of Innovation Science,1757-2231,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Intelligent Computing and Cybernetics,1756-3798,Hybrid,Yes,Engineering,Emerald,2025-2027
International Journal of Intelligent Unmanned Systems,2049-6435,Hybrid,Yes,Engineering,Emerald,2025-2027
International Journal of Islamic and Middle Eastern Finance and Management,1753-8408,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
International Journal of Law and Management,1754-2448,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Lean Six Sigma,2040-4174,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
International Journal of Managerial Finance,1758-6569,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
International Journal of Managing Projects in Business,1753-8386,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Manpower,1758-6577,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
International Journal of Mentoring and Coaching in Education,2046-6862,Hybrid,Yes,Education,Emerald,2025-2027
"International Journal of Migration, Health and Social Care",2042-8650,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
International Journal of Numerical Methods for Heat & Fluid Flow,1758-6585,Hybrid,Yes,Engineering,Emerald,2025-2027
International Journal of Operations & Production Management,1758-6593,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
International Journal of Organization Theory & Behavior,1532-4273,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
International Journal of Organizational Analysis,1758-8561,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
International Journal of Pervasive Computing and Communications,1742-738X,Hybrid,Yes,Engineering,Emerald,2025-2027
International Journal of Pharmaceutical and Healthcare Marketing,1750-6131,Hybrid,Yes,Marketing,Emerald,2025-2027
International Journal of Physical Distribution & Logistics Management,1758-664X,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
International Journal of Prison Health,2977-0262,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
International Journal of Productivity and Performance Management,1758-6658,Hybrid,Yes,"HR, Learning & Organizational studies",Emerald,2025-2027
International Journal of Public Leadership,2056-4937,Hybrid,Yes,Public policy & Environm Management,Emerald,2025-2027
International Journal of Public Sector Management,1758-6666,Hybrid,Yes,Public policy & Environm Management,Emerald,2025-2027
International Journal of Quality & Reliability Management,1758-6682,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
International Journal of Quality and Service Sciences,1756-6703,Hybrid,Yes,"Operations, Logistics & Quality",Emerald,2025-2027
International Journal of Retail & Distribution Management,1758-6690,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Social Economics,1758-6712,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
International Journal of Sociology and Social Policy,1758-6720,Hybrid,Yes,Public policy & Environm Management,Emerald,2025-2027
International Journal of Sports Marketing and Sponsorship,2515-7841,Hybrid,Yes,Marketing,Emerald,2025-2027
International Journal of Structural Integrity,1757-9872,Hybrid,Yes,Engineering,Emerald,2025-2027
International Journal of Sustainability in Higher Education,1758-6739,Hybrid,Yes,Education,Emerald,2025-2027
International Journal of Web Information Systems,1744-0092,Hybrid,Yes,Engineering,Emerald,2025-2027
International Journal of Wine Business Research,1751-1070,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
International Journal of Workplace Health Management,1753-836X,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
International Marketing Review,1758-6763,Hybrid,Yes,Marketing,Emerald,2025-2027
Internet Research,2054-5657,Hybrid,Yes,Records & Knowledge Managemennt,Emerald,2025-2027
Journal for Multicultural Education,2053-5368,Hybrid,Yes,Education,Emerald,2025-2027
Journal of Accounting & Organizational Change,1839-5473,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Accounting in Emerging Economies,2042-1176,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Accounting Literature,2452-1469,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Advances in Management Research,2049-3207,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
"Journal of Aggression, Conflict and Peace Research",2042-8715,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Journal of Agribusiness in Developing and Emerging Economies,2044-0847,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Applied Accounting Research,1758-8855,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Applied Research in Higher Education,1758-1184,Hybrid,Yes,Education,Emerald,2025-2027
Journal of Asia Business Studies,1559-2243,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Journal of Business & Industrial Marketing,2052-1189,Hybrid,Yes,Marketing,Emerald,2025-2027
Journal of Business Strategy,2052-1197,Hybrid,Yes,"Business, Management & Strategy",Emerald,2025-2027
Journal of Children's Services,2042-8677,Hybrid,Yes,Health & Social Care,Emerald,2025-2027
Journal of Chinese Economic and Foreign Trade Studies,1754-4416,Hybrid,Yes,"Accounting, Finance & Economics",Emerald,2025-2027
Journal of Communication Management,1478-0852,Hybrid,Yes,Marketing,Emerald,2025-2027
Journal of Consumer Marketing,2052-1200,Hybrid,Yes,Marketing,Emerald,2025-2027
