Journal title,ISSN,eISSN,Publisher details
Acta Academica,0587-2405,2415-0479,University of the Free State
Acta Commercii,2413-1903,1684-1999,AOSIS
Acta Structilia,1023-0564,2415-0487,University of the Free State
Acta Theologica,1015-8758,2309-9089,University of the Free State
African Entomology,1021-3589,2224-8854,Entomological Society of Southern Africa (ESSA)
African Evaluation Journal,2310-4988,2306-5133,AOSIS
African Human Mobility Review,2411-6955,2410-7972,University of the Western Cape
African Human Rights Law Journal,1609-073X,1996-2096,Pretoria University Law Press
African Human Rights Yearbook,2523-1367,2663-323X,Pretoria University Law Press
African Journal of Disability,2223-9170,2226-7220,AOSIS
African Journal of Gender and Religion,N/A,2707-2991,University of Johannesburg (UJ) Press
African Journal of Health Professions Education,N/A,2078-5127,South African Medical Association
African Journal of Laboratory Medicine,2225-2002,2225-2010,AOSIS
African Journal of Primary Health Care & Family Medicine,2071-2928,2071-2936,AOSIS
African Journal on Conflict Resolution,1562-6997,2309-737X,The African Centre for the Constructive Resolution of Disputes (ACCORD)
African Vision and Eye Health,2413-3183,2410-1516,AOSIS
Bothalia: African Biodiversity & Conservation,0006-8241 ,2311-9284,South African National Biodiversity Institute
Clean Air Journal,1017-1703,2410-972X,National Association for Clean Air
Communitas ,1023-0556,2415-0525,University of the Free State
Critical Studies in Teaching & Learning,N/A,2310-7103,University of the Western Cape
Curationis: Research Journal of the Democratic Nursing Organisation of South Africa,0379-8577,2223-6279,AOSIS & Democratic Nursing Organisation of South Africa
De Jure Law Journal,1466-3597,2225-7160,University of Pretoria
Education as Change,1682-3206 ,1947-9417,Unisa Press & The Centre for Education Rights and Transformation at the University of Johannesburg
Educational Research for Social Change,N/A,2221-4070,Nelson Mandela University
Health SA Gesondheid: Journal of Interdisciplinary Health Sciences,1025-9848,2071-9736,AOSIS & University of Johannesburg
Historia: Journal of the Historical Association of South Africa,0018-229X,2309-8392,Historical Association of South Africa
HTS Theological Studies,0259-9422,2072-8050,AOSIS
Image & Text,1021-1497,2617-3255,University of Pretoria
In die Skriflig / In Luce Verbi,1018-6441,2305-0853,AOSIS & the Reformed Theological Society of South Africa
Indo-Pacific Journal of Phenomenology,2079-7222,1445-7377,National Inquiry Services Centre
Jàmbá: Journal of Disaster Risk Studies,2072-845X,1996-1421,AOSIS & Southern Africa Society for Disaster Reduction (SASDiR)
Journal for the Study of Religion,1011-7601,2413-3027,Association for the Study of Religion in Southern Africa
Journal for Transdisciplinary Research in Southern Africa,1817-4434,2415-2005,AOSIS
Journal of Contemporary Management,N/A,1815-7440,JCMAN
Journal of Education,0259-479X,2520-9868,University of KwaZulu-Natal & South African Education Research Association
Journal of Energy in Southern Africa,1021-447X,2413-3051,University of Cape Town
Journal of Geography Education in Africa,N/A,2788-9114,UP Journals
Journal of Literary Studies,0256-4718,1753-5387,Unisa Press & South African Society for General Literary Studies
Journal of Student Affairs In Africa,2311-1771,2307-6267,Journal of Student Affairs in Africa
Journal of the South African Institution of Civil Engineering,1021-2019,2309-8775,South African Institution of Civil Engineering
Journal of the South African Veterinary Association,1019-9128,2224-9435,South African Veterinary Association
Journal of the Southern African Institute of Mining & Metallurgy,2225-6253,2411-9717,Southern African Institute of Mining & Metallurgy
Journal of Transport and Supply Chain Management,2310-8789,1995-5235,AOSIS
"Journal of Vocational, Adult and Continuing Education and Training",2663-3639,2663-3647,University of the Western Cape
Koedoe: African Protected Area Conservation & Science,0075-6458,2071-0771,AOSIS & South African National Parks (SANParks)
Koers: Bulletin for Christian Scholarship,0023-270X,2304-8557,Scriber Editorial Systems
Kronos: Southern African Histories,0259-0190,2309-9585,University of the Western Cape
"Law, Democracy & Development",1028-1053,2077-4907,University of the Western Cape
Lexikos,1684-4904, 2224-0039,Bureau of the WAT
"Literator: Journal of Literary Criticism, Comparative Linguistics & Literary Studies",0258-2279,2219-8237,AOSIS & the Literature Society of South Africa
Missionalia: Southern African Journal of Missiology,0256-9507,2312-878X,Southern African Missiological Society
Obiter Law Journal,1682-5853,2709-555X,Nelson Mandela University
Old Testament Essays,1010-9919,2312-3621,Old Testament Society of Southern Africa 
Onderstepoort Journal of Veterinary Research,0030-2465,2219-0635,AOSIS & ARC-Onderstepoort Veterinary Institute 
Phronimon,1561-4018,2413-3086,South African Society for Greek Philosophy & the Humanities
Potchefstroom Electronic Law Journal,N/A,1727-3781,"North-West University, Potchefstroom- Campus"
Psychology in Society,1015-6046,2309-8708,Psychology in Society
Pythagoras,1012-2346,2223-7895,AOSIS
R&D Journal ,0257-9669,2309-8988,South African Institution of Mechanical Engineering
Reading & Writing,2079-8245,2308-1422,AOSIS & Literacy Association of South Africa 
SA Crime Quarterly,1991-3877,2413-3108,Institute for Security Studies 
SA Journal of Human Resource Management,1683-7584,2071-078X,AOSIS
SA Journal of Industrial Psychology,0258-5200,2071-0763,AOSIS & University of Johannesburg 
SA Journal of Radiology,1027-202X,2078-6778,AOSIS & Radiological Society of South Africa
SA Orthopaedic Journal,1681-150X,2309-8309,Medpharm & South African Orthopaedic Association
SAIEE Africa Research Journal  ,0038-2221,1991-1696,SAIEE Publications 
SAMJ: South African Medical Journal,0256-9574,2078-5135,South African Medical Association 
Scientia Militaria: South African Journal of Military Studies,1022-8136,2224-0020,Stellenbosch University
Scriptura ,0254-1807,2305-445X,Stellenbosch University
Social Work/ Maatskaplike Werk,0037-8054,2312-7198,Stellenbosch University 
South African Computer Journal,1015-7999,2313-7835,South African Institute of Computer Scientists & Information Technologists 
South African Dental Journal,0011-8516,0375-1562,South African Dental Association 
South African Family Practice,2078-6190,2078-6204,AOSIS
South African Journal of Agricultural Extension,0301-603X,2413-3221,South African Society for Agricultural Extension
South African Journal of Animal Science,0375-1589,2221-4062,South African Society for Animal Science 
South African Journal of Bioethics and Law,N/A,1999-7639,The South African Medical Association
South African Journal of Business Management,2078-5585,2078-5976,AOSIS
South African Journal of Chemistry ,0379-4350,1996-840X,South African Chemical Institute
South African Journal of Child Health ,1994-3032,1999-7671,South African Medical Association 
South African Journal of Childhood Education,2223-7674,2223-7682,AOSIS & University of Johannesburg
South African Journal of Communication Disorders,0379-8047,2225-4765,AOSIS & South African Speech-Language- Hearing Association
South African Journal of Economic & Management Sciences,1015-8812,2222-3436,AOSIS & University of Pretoria
South African Journal of Education,0256-0100,2076-3433,Education Association of South Africa
South African Journal of Enology & Viticulture,0253-939X,2224-7904,Stellenbosch University & Society for Enology and Viticulture
South African Journal of Higher Education,N/A,1753-5913,Higher Education Learning & Teaching Association of SA & Stellenbosch University 
South African Journal of Industrial Engineering,1012-277X,2224-7890,Southern African Institute for Industrial Engineering
South African Journal of Information Management ,2078-1865,1560-683X,AOSIS & University of Johannesburg
South African Journal of Libraries & Information Science,0256-8861,2304-8263,Library & Information Association of South Africa
South African Journal of Obstetrics and Gynaecology,0038-2329,2305-8862,The South African Medical Association
South African Journal of Occupational Therapy,0038-2337,2310-3833,Occupational Therapy Association of South Africa
South African Journal of Physiotherapy,0379-6175,2410-8219,AOSIS and South African Society of Psychotherapy
South African Journal of Psychiatry,1608-9685,2078-6786,AOSIS & South African Society of Psychiatrists
South African Journal of Science,0038-2353,1996-7489,Academy of Science of South Africa
South African Journal of Sports Medicine,1015-5163,2078-516X,South African Sports Medicine Association
South African Journal of Surgery,0038-2361,2078-5151,MedPharm & Association of Surgeons of South Africa
Southern African Business Review,1561-896X,1998-8125,Unisa Press
Southern African Journal of Critical Care,1562-8264,2078-676X,South African Medical Association
Southern African Journal of Entrepreneurship and Small Business Management,2522-7343,2071-3185,AOSIS
Southern African Journal of Environmental Education,1810-0333,2411-5959,The Environmental Education Association of Southern Africa (EEASA) & Rhodes University
Southern African Journal of HIV Medicine,1608-9693,2078-6751,AOSIS & Southern African HIV Clinicians Society
Stellenbosch Papers in Linguistics Plus (SPiL Plus),1726-541X,2224-3380,Stellenbosch University
Stellenbosch Theological Journal,2413-9459,2413-9467,Stellenbosch University & Pieter de Waal Neethling Trust / Christelike Lektuurfonds 
Studia Historiae Ecclesiasticae,1017-0499,2412-4265,Church History Society of Southern Africa
The African Journal of Information and Communication (AJIC),2077-7205,2077-7213,"LINK Centre, University of the Witwatersrand"
The Independent Journal of Teaching and Learning,N/A,2519-5670,The Independent Institute of Education
Town & Regional Planning,1012-280X,2415-0495,University of the Free State
Tydskrif vir Geesteswetenskappe,0041-4751,2224-7912,Suid-Afrikaanse Akademie vir Wetenskap & Kuns
Tydskrif vir Letterkunde,0041-476X,2309-9070,Tydskrif vir Letterkunde Association & University of Pretoria
Verbum et Ecclesia,1609-9982,2074-7705,AOSIS & University of Pretoria
Water SA,0378-4738,1816-7950,Water Research Commission
Yesterday & Today,2223-0386,2309-9003,South African Society for History Teaching
,,,
,,,
,,,
,,,
